review_id,stars,date,title,text,source,product,version,vote_count
Ci9DQUlRQUNvZENodHljRjlvT2pSR00xOHpORVl3V0RWdlUybERlRXB4UWxKVWRVRRAB,4.0,2025-11-24,,"Tara & Jenny were so attentive and helpful, they really made sure I was well taken care of. Reason for taking off 1 star is the gentleman that is there (didn’t get his name) when I walked in he said we close at 5pm, and it was 4:23pm……ok ? It showed that he couldn’t be bothered but nevertheless I wasn’t taken care of by him so that was the good thing.",google_maps,Kiss Nail,,0
Ci9DQUlRQUNvZENodHljRjlvT2xNdFFtVnpNRkJ3VFRRMGJ6aGpNMnhyVFZJM2MzYxAB,5.0,2025-07-27,,"Been going here for 6 years!! They never disappoint!!! They have become like family Tara- nails, lashes, brows, & feet!!!! Henry on the Nails!!! And Jen Jen on the Feet & Brows… They never miss🥰🥰🥰",google_maps,Kiss Nail,,0
ChdDSUhNMG9nS0VJQ0FnSUNhaVluczlRRRAB,5.0,2025-06-22,,"I had a fantastic experience at the nail salon! The staff did a great job with my nails, paying attention to every detail. My nails look beautiful, and the service was both professional and friendly. Highly recommend!",google_maps,Kiss Nail,,1
ChZDSUhNMG9nS0VJQ0FnSURMOXNyM0x3EAE,1.0,2025-06-22,,"Just rude I came in for the first time ever stood 10 min 3 ppl working couldn’t even get a hello  disrespectful  was trying to make an appoint to secure a spot for July . Even if they don’t take appointments they would have never known what I needed because they were not going to ask. We pay these businesses so much money and when we become regular customers we give them so much more. We are in America and in this country that is so so despicable to be so inconsiderate to someone who is keeping your business open. What is this world coming to where people are so mean evil jealous envious greedy God is not pleased. at the end of the day, we can shrug our shoulders, but judgment day is coming.",google_maps,Kiss Nail,,2
ChdDSUhNMG9nS0VJQ0FnSUNOajlDNHVnRRAB,5.0,2024-06-22,,I love them and will forever recommend them to people.,google_maps,Kiss Nail,,0
ChdDSUhNMG9nS0VJQ0FnSURkcEpQSWdnRRAB,5.0,2024-06-22,,"Nya was great! It was my first time getting my eyelashes done and she really knocked it out of the park! She was super kind, professional, and patient. I'll definitely be back! 💗",google_maps,Embellish Beauty Bar SC,,0
ChdDSUhNMG9nS0VJQ0FnSUNwLWZfandnRRAB,5.0,2024-06-22,,"My grand baby has been getting her braids done by Kandi for some years now … and believe me when I say this… “she’s always on point, she gets you in and out” Her work is amazing . So holla at her ! You won’t be disappointed ! Book my girl …Braids by Kandi",google_maps,Embellish Beauty Bar SC,,0
ChdDSUhNMG9nS0VJQ0FnSURoMk5DR3J3RRAB,5.0,2023-06-23,,"Clean environment, wonderful people!",google_maps,Embellish Beauty Bar SC,,0
ChdDSUhNMG9nS0VJQ0FnSUNodXJDSDVnRRAB,5.0,2023-06-23,,This was my first time booking with Nya and I had a pleasant experience. I was nervous but she exceeded my expectations and listened to my needs. I love my new lash tech.,google_maps,Embellish Beauty Bar SC,,0
ChdDSUhNMG9nS0VJQ0FnSURCXzg2OHFnRRAB,5.0,2023-06-23,,"I was referred to Nya from a friend of mine and only meant to use the lashes for my upcoming wedding… I’m almost at my wedding anniversary and STILL see her biweekly! Love her studio, perfect relaxing setting 💕",google_maps,Embellish Beauty Bar SC,,0
ChZDSUhNMG9nS0VJQ0FnSURCdjZhY1lBEAE,5.0,2023-06-23,,"My first facial from this establishment and Nya was very welcoming, and professional. My face looks and feels amazing. I’m honestly looking forward to booking again soon!",google_maps,Embellish Beauty Bar SC,,0
ChdDSUhNMG9nS0VJQ0FnSURCMzZXU3hnRRAB,5.0,2023-06-23,,"I got a facial/lash extensions by Nya ! She is the best !! She made me feel comfortable and her area is so clean and organized. She has done my facial twice and every time she left my skin clear and glowing!! It’s a very relaxing experience everyone should try. She also did my lash extensions and what I like the most about her doing them is she didn’t have me sitting all day !! It was quick and easy and she had me looking flawless. She did exactly what I wanted . So if you’re looking for someone who is sweet , professional , and gets the job done book with Nya !",google_maps,Embellish Beauty Bar SC,,1
Ci9DQUlRQUNvZENodHljRjlvT2tJNGJrSTJkRGRZTFVKTE5FWTRSa2hFVmpaTVlWRRAB,5.0,2026-06-21,,very cute and high quality nails,google_maps,"KISS Products, Inc.",,0
Ci9DQUlRQUNvZENodHljRjlvT21WaFgydGhUa0ZXV2tWTFJYcGFURTl0ZWpsdVozYxAB,5.0,2026-04-23,,Kiss Beauty Group HQ!,google_maps,"KISS Products, Inc.",,0
Ci9DQUlRQUNvZENodHljRjlvT2xWQ1VEZHhRa0ZVU3paWFRISTBjemMyUTAxc1RIYxAB,5.0,2026-04-23,,awsum!!!!!,google_maps,"KISS Products, Inc.",,0
Ci9DQUlRQUNvZENodHljRjlvT2pWdmNHRnJibmMzVkRRM1RHVkRSM00zVWs1aFdHYxAB,5.0,2026-03-24,,Muy buena compañía muy buen personal trabaje unos años ahí me encantó,google_maps,"KISS Products, Inc.",,0
Ci9DQUlRQUNvZENodHljRjlvT205WFVFcHVMV3BxZGxSd2VIRk5RbGt3UVZOMGQwRRAB,5.0,2026-03-24,,Such a great company! I've been wearing their imPRESS nails for years and each set lasts three weeks! I get so many compliments because they fit me so perfectly. Their customer service is excellent!,google_maps,"KISS Products, Inc.",,0
Ci9DQUlRQUNvZENodHljRjlvT2twRVJWcHhVMnBMVUVkdU5ubEhaMDVyT0ZGNk9GRRAB,1.0,2026-03-24,,"Every pair of eyelashes I buy that's made by your company, every single pair that I have bought are mis-matched. I have yet to have received a pair that are correct.",google_maps,"KISS Products, Inc.",,0
